	%Error_pnns_groups_1	%Error_pnns_groups_2	%Error_nutrition_grade_fr
k=1	0.12716686515813153	0.22178113007807332	0.3600317208564631
k=2	0.14582506285563054	0.2404393277755723	0.3703409992069786
k=3	0.12372634643377002	0.21767897313748844	0.3647898493259318
k=4	0.13153367738520577	0.22231044065105202	0.37430610626486915
k=5	0.1247849675797274	0.21847293899695647	0.36241078509119745
k=6	0.12809315866084425	0.22006087071589256	0.3671689135606661
k=7	0.12491729522297208	0.21741431785099907	0.3481363996827914
k=8	0.12822548630408892	0.21953156014291386	0.36082474226804123
k=9	0.12862246923382295	0.2237660447267434	0.3647898493259318
k=10	0.1324599708879185	0.22628026994839223	0.3671689135606661
k=11	0.13021040095275904	0.2274712187375943	0.36241078509119745
k=12	0.1328569538176525	0.23104406510520048	0.3719270420301348
k=13	0.13537117903930132	0.2318380309646685	0.3766851704996035
k=14	0.13722376604472675	0.23527854968903003	0.3790642347343378
k=15	0.13695911075823738	0.2359401879052534	0.37509912767644726
